    1  man ls
    2  man cd
    3  help ls
    4  info ls
    5  help help
    6  q
    7  ls
    8  ls
    9  cd 12/
   10  cd ~
   11  ls
   12  cd /
   13  cd ~
   14  pwd
   15  ls
   16  mkdir Test1
   17  ls
   18  mkdir Test2
   19  mkdir Test3
   20  ls
   21  touch file1.txt
   22  ls
   23  touch file2.txt
   24  vim file1.txt
   25  nano file2.txt
   26  cat file1.txt
   27  cat file2.txt
   28  clear
   29  cp file1.txt Test1
   30  cp file1.txt /Users/Olha/Desktop
   31  pwd
   32  cp file1.txt /c/Users/olha/Desktop/lesson32
   33  cp file1.txt /c/Users/olha/Desktop/lesson32/Test1
   34  rm file1.txt
   35  rmdir Test1
   36  rmdir Test2
   37  date
   38  system_profiler
   39  system_profiler
   40  ifconfig
   41  git config --global user.name Olha Gures
   42  git config --global user.email olha.gures@gmail.com
   43  git clone https://github.com/OGures/HW_10.git
   44  cd HW_10
   45  touch text_ignore.txt
   46  vim gitignore.txt
   47  git status
   48  git add text_ignore.txt
   49  git add gitignore.txt
   50  git status
   51  git commit -m "New.txt file added, Old.txt file chaged"
   52  touch main_test.txt
   53  git add main_test.txt
   54  git status
   55  git commit -m "New.txt file added"
   56  git status
   57  git checkout -b develop
   58  git branch
   59  touch develop_test.txt
   60  git add develop_test.txt
   61  git status
   62  git commit -m "New.txt file added"
   63  nano develop_test.txt
   64  git status
   65  git add develop_test.txt
   66  git commit -m "New.txt file changed"
   67  git checkout main
   68  git branch
   69  git merge develop
   70  git log
   71  history > command_list.csv
